PC1,PC2,Probability,Free_Energy_kJ_mol,Sampled
-3.6964434,-3.82039705,0.0,,False
-3.6964434,-3.74333115,0.0,,False
-3.6964434,-3.66626525,0.0,,False
-3.6964434,-3.58919935,0.0,,False
-3.6964434,-3.51213345,0.0,,False
-3.6964434,-3.43506755,0.0,,False
-3.6964434,-3.35800165,0.0,,False
-3.6964434,-3.28093575,0.0,,False
-3.6964434,-3.20386985,0.0,,False
-3.6964434,-3.1268039499999998,0.0,,False
-3.6964434,-3.0497380499999998,0.0,,False
-3.6964434,-2.9726721499999997,0.0,,False
-3.6964434,-2.8956062499999997,0.0,,False
-3.6964434,-2.8185403499999997,0.0,,False
-3.6964434,-2.7414744499999997,0.0,,False
-3.6964434,-2.6644085499999997,0.0,,False
-3.6964434,-2.5873426499999996,0.0,,False
-3.6964434,-2.5102767499999996,0.0,,False
-3.6964434,-2.4332108499999996,0.0,,False
-3.6964434,-2.3561449499999996,0.0,,False
-3.6964434,-2.2790790499999996,0.0,,False
-3.6964434,-2.2020131499999995,0.0,,False
-3.6964434,-2.1249472499999995,0.0,,False
-3.6964434,-2.04788135,0.0,,False
-3.6964434,-1.97081545,0.0,,False
-3.6964434,-1.89374955,0.0,,False
-3.6964434,-1.8166836499999999,0.0,,False
-3.6964434,-1.7396177499999999,0.0,,False
-3.6964434,-1.6625518499999998,0.0,,False
-3.6964434,-1.5854859499999998,0.0,,False
-3.6964434,-1.5084200499999998,0.0,,False
-3.6964434,-1.4313541499999998,0.0,,False
-3.6964434,-1.3542882499999997,0.0,,False
-3.6964434,-1.2772223499999997,0.0,,False
-3.6964434,-1.2001564499999997,0.0,,False
-3.6964434,-1.1230905499999997,0.0,,False
-3.6964434,-1.0460246499999997,0.0,,False
-3.6964434,-0.9689587499999996,0.0,,False
-3.6964434,-0.8918928499999996,0.0,,False
-3.6964434,-0.8148269499999996,0.0,,False
-3.6964434,-0.7377610499999996,0.0,,False
-3.6964434,-0.6606951499999996,0.0,,False
-3.6964434,-0.5836292499999995,0.0,,False
-3.6964434,-0.5065633499999995,0.0,,False
-3.6964434,-0.4294974499999995,0.0,,False
-3.6964434,-0.3524315499999995,0.0,,False
-3.6964434,-0.27536564999999946,0.0,,False
-3.6964434,-0.19829974999999966,0.0,,False
-3.6964434,-0.12123384999999987,0.0,,False
-3.6964434,-0.044167949999999845,0.0,,False
-3.6964434,0.032897950000000176,0.0,,False
-3.6964434,0.1099638500000002,0.0,,False
-3.6964434,0.18702975000000022,0.0,,False
-3.6964434,0.26409565000000024,0.0,,False
-3.6964434,0.34116155000000026,0.0,,False
-3.6964434,0.4182274500000003,0.0,,False
-3.6964434,0.4952933500000003,0.0,,False
-3.6964434,0.5723592500000003,0.0,,False
-3.6964434,0.6494251500000003,0.0,,False
-3.6964434,0.7264910500000004,0.0,,False
-3.6964434,0.8035569500000004,0.0,,False
-3.6964434,0.8806228500000004,0.0,,False
-3.6964434,0.9576887500000004,0.0,,False
-3.6964434,1.0347546500000004,0.0,,False
-3.6964434,1.1118205500000005,0.0,,False
-3.6964434,1.1888864500000005,0.0,,False
-3.6964434,1.2659523500000005,0.0,,False
-3.6964434,1.3430182500000005,0.0,,False
-3.6964434,1.4200841500000005,0.0,,False
-3.6964434,1.4971500500000006,0.0,,False
-3.6964434,1.5742159500000006,0.0,,False
-3.6964434,1.6512818500000006,2.3575287191659068e-08,27.131800755395062,False
-3.6964434,1.7283477500000006,9.51094966797575e-06,12.165768042995062,True
-3.6964434,1.8054136500000006,7.027694065077865e-05,7.177090472195061,True
-3.6964434,1.8824795500000007,9.51094966797575e-06,12.165768042995062,True
-3.6964434,1.9595454500000007,4.7143612601123855e-08,25.403225175241015,False
-3.6964434,2.0366113500000007,9.508141084584553e-06,12.16650473000358,True
-3.6964434,2.1136772500000007,7.025619483232477e-05,7.177826912036133,True
-3.6964434,2.1907431500000007,9.51094966797575e-06,12.165768042995062,True
-3.6964434,2.2678090500000008,4.432110564553902e-08,25.557219518635215,False
-3.6964434,2.344874950000001,5.617166782392568e-09,30.70960948228901,False
-3.6964434,2.421940850000001,1.1330703707162456e-06,17.472505340650244,False
-3.6964434,2.499006750000001,8.375077675650502e-06,12.483006478425555,True
-3.6964434,2.576072650000001,2.266126817868103e-06,15.74357676988901,True
-3.6964434,2.653138550000001,8.375077675650502e-06,12.483006478425555,True
-3.6964434,2.730204450000001,1.1330634089340514e-06,17.47252066635034,False
-3.6964434,2.807270350000001,2.808583391196284e-09,32.438553378750335,False
-3.6964434,2.884336250000001,0.0,,False
-3.6964434,2.961402150000001,0.0,,False
-3.6964434,3.038468050000001,0.0,,False
-3.6964434,3.115533950000001,0.0,,False
-3.6964434,3.192599850000001,0.0,,False
-3.6964434,3.269665750000001,0.0,,False
-3.6964434,3.346731650000001,0.0,,False
-3.6964434,3.423797550000001,0.0,,False
-3.6964434,3.5008634500000007,0.0,,False
-3.6964434,3.5779293500000002,0.0,,False
-3.6964434,3.6549952500000003,0.0,,False
-3.6964434,3.7320611500000003,0.0,,False
-3.6964434,3.80912705,0.0,,False
-3.6136702000000005,-3.82039705,0.0,,False
-3.6136702000000005,-3.74333115,0.0,,False
-3.6136702000000005,-3.66626525,0.0,,False
-3.6136702000000005,-3.58919935,0.0,,False
-3.6136702000000005,-3.51213345,0.0,,False
-3.6136702000000005,-3.43506755,0.0,,False
-3.6136702000000005,-3.35800165,0.0,,False
-3.6136702000000005,-3.28093575,0.0,,False
-3.6136702000000005,-3.20386985,0.0,,False
-3.6136702000000005,-3.1268039499999998,0.0,,False
-3.6136702000000005,-3.0497380499999998,0.0,,False
-3.6136702000000005,-2.9726721499999997,0.0,,False
-3.6136702000000005,-2.8956062499999997,0.0,,False
-3.6136702000000005,-2.8185403499999997,0.0,,False
-3.6136702000000005,-2.7414744499999997,0.0,,False
-3.6136702000000005,-2.6644085499999997,0.0,,False
-3.6136702000000005,-2.5873426499999996,0.0,,False
-3.6136702000000005,-2.5102767499999996,0.0,,False
-3.6136702000000005,-2.4332108499999996,0.0,,False
-3.6136702000000005,-2.3561449499999996,0.0,,False
-3.6136702000000005,-2.2790790499999996,0.0,,False
-3.6136702000000005,-2.2020131499999995,0.0,,False
-3.6136702000000005,-2.1249472499999995,0.0,,False
-3.6136702000000005,-2.04788135,0.0,,False
-3.6136702000000005,-1.97081545,0.0,,False
-3.6136702000000005,-1.89374955,0.0,,False
-3.6136702000000005,-1.8166836499999999,0.0,,False
-3.6136702000000005,-1.7396177499999999,0.0,,False
-3.6136702000000005,-1.6625518499999998,0.0,,False
-3.6136702000000005,-1.5854859499999998,0.0,,False
-3.6136702000000005,-1.5084200499999998,0.0,,False
-3.6136702000000005,-1.4313541499999998,0.0,,False
-3.6136702000000005,-1.3542882499999997,0.0,,False
-3.6136702000000005,-1.2772223499999997,0.0,,False
-3.6136702000000005,-1.2001564499999997,0.0,,False
-3.6136702000000005,-1.1230905499999997,0.0,,False
-3.6136702000000005,-1.0460246499999997,0.0,,False
-3.6136702000000005,-0.9689587499999996,0.0,,False
-3.6136702000000005,-0.8918928499999996,0.0,,False
-3.6136702000000005,-0.8148269499999996,0.0,,False
-3.6136702000000005,-0.7377610499999996,0.0,,False
-3.6136702000000005,-0.6606951499999996,0.0,,False
-3.6136702000000005,-0.5836292499999995,0.0,,False
-3.6136702000000005,-0.5065633499999995,0.0,,False
-3.6136702000000005,-0.4294974499999995,0.0,,False
-3.6136702000000005,-0.3524315499999995,0.0,,False
-3.6136702000000005,-0.27536564999999946,0.0,,False
-3.6136702000000005,-0.19829974999999966,0.0,,False
-3.6136702000000005,-0.12123384999999987,0.0,,False
-3.6136702000000005,-0.044167949999999845,0.0,,False
-3.6136702000000005,0.032897950000000176,0.0,,False
-3.6136702000000005,0.1099638500000002,0.0,,False
-3.6136702000000005,0.18702975000000022,0.0,,False
-3.6136702000000005,0.26409565000000024,0.0,,False
-3.6136702000000005,0.34116155000000026,6.961782194276772e-12,47.404586091150335,False
-3.6136702000000005,0.4182274500000003,2.808583391196284e-09,32.438553378750335,False
-3.6136702000000005,0.4952933500000003,2.075278023607423e-08,27.449875807950338,False
